imdbId,movieId,tmdbId,title,keywords,genres,Avg_rating,Median_rating,Max_rating,Min_rating,StdDev_rating,tmbd_genres,original_title,tagline,original_language,popularity,release_date,revenue,runtime,vote_average,vote_count,budget,tmbd_keywords,url,imdbRating,duration,year,nrOfWins,nrOfNominations,actors,imdb_genres
tt0000417,32898,775,"Trip to the Moon, A (Voyage dans la lune, Le) (1902)","Trip,to,the,Moon,A,Voyage,dans,la,lune,Le,1902","Action,Adventure,Fantasy,SciFi",3.73818897637795,4,5,0.5,0.857055274065157,,,,,,,,,,,,,,,,,,,,
tt0000439,49389,5698,The Great Train Robbery (1903),"The,Great,Train,Robbery,1903,Great Train Robbery","Crime,Western",3.34090909090909,3.5,5,0.5,1.11686061009314,,,,,,,,,,,,,,,,,,,,
tt0004972,7065,618,"Birth of a Nation, The (1915)","Birth,of,a,Nation,The,1915,Birth of a Nation","Drama,War",3.22865013774105,3.5,5,0.5,1.22533346297664,,,,,,,,,,,,,http://www.imdb.com/title/tt0004972/,6.9,9900,1915,1,0,"D.W. Griffith,G.W. Bitzer,Spottiswoode Aitken,Mary Alden,George Beranger,Joseph Carl Breil,Josephine Crowell,Howard Gaye,Joseph Henabery,Ralph Lewis,Walter Long,Mae Marsh,Rose Smith,Henry B. Walthall","Drama,History,Romance"
tt0006333,62383,30266,"20,000 Leagues Under the Sea (1916)","20,0,Leagues,Under,the,Sea,1916","Action,Adventure,SciFi",3.25714285714286,3.5,5,0.5,1.11232507871815,,,,,,,,,,,,,,,,,,,,
tt0006864,7243,3059,"Intolerance: Love's Struggle Throughout the Ages (1916)","Intolerance,Love's,Struggle,Throughout,the,Ages,1916,Love's Struggle",Drama,3.7192513368984,4,5,0.5,1.1192612175222,Drama,Intolerance,The Cruel Hand of Intolerance,en,3.232447,9/4/16,8394751,197,7.4,60,385907,"usa,naivety,intolerance,mill,marriage,wedding,massacre,protestant,silent film,multiple storylines,reformer,saved from hanging,jesus,story of a poor young woman,prejudice,baby,history,tales of intolerance,husband",http://www.imdb.com/title/tt0006864/,8,9780,1916,1,0,"D.W. Griffith,G.W. Bitzer,Frank Bennett,Josephine Crowell,Sam De Grasse,Howard Gaye,Louis F. Gottschalk,Robert Harron,Joseph Henabery,Lloyd Ingraham,Lillian Langdon,W.E. Lawrence,Walter Long,Mae Marsh,Alfred Paget,Allan Sears,Constance Talmadge,F.A. Turner","Drama,History"
tt0007264,102747,2077,"Rink, The (1916)","Rink,The,1916",Comedy,3.58333333333333,3.75,5,2,1.02062072615966,,,,,,,,,,,,,,,,,,,,
tt0007361,72921,174598,Snow White (1916),"Snow,White,1916,Snow White","Fantasy,Romance",3.31707317073171,3.5,5,1,0.88569250844308,,,,,,,,,,,,,,,,,,,,
tt0008133,8511,47653,"Immigrant, The (1917)","Immigrant,The,1917",Comedy,3.7,4,5,0.5,1.06201912194867,,,,,,,,,,,,,http://www.imdb.com/title/tt0008133/,7.8,1800,1917,1,0,"Eric Campbell,Frank J. Coleman,Edna Purviance,Michael Mortilla","Comedy,Drama,Short"
tt0010040,3132,70801,Daddy Long Legs (1919),"Daddy,Long,Legs,1919,Daddy Long Legs","Comedy,Drama",3.43377483443709,4,5,0.5,0.975833825827502,,,,,,,,,,,,,http://www.imdb.com/title/tt0010040/,7.9,5100,1919,0,0,"Milla Davenport,Percy Haswell,Lillian Langdon,Fay Lemport,Marshall Neilan,Jean Webster","Comedy,Drama"
tt0010323,6987,234,"Cabinet of Dr. Caligari, The (Cabinet des Dr. Caligari., Das) (1920)","Cabinet,of,Dr,Caligari,The,Cabinet,des,Dr,Caligari,Das,1920,Cabinet of Dr. Caligari,Cabinet des Dr. Caligari","Crime,Fantasy,Horror",3.91231884057971,4,5,0.5,0.903377988962991,,,,,,,,,,,,,http://www.imdb.com/title/tt0010323/,8.1,4680,1920,0,0,"Willy Hameister,Giuseppe Becce,Alfredo Antonini,Timothy Brock,Lil Dagover,Friedrich Feher,Katherine Hilliker,Hans Janowitz,Werner Krauss,Rudolf Lettinger,Carl Mayer,Conrad Veidt,Robert Wiene",Horror
